Det_No,Det_ID,Moller_Asymmetry,Moller_Asymmetry_Uncertainty
1,150151,1570.84,44.411
2,150152,-47.0909,61.6876
3,150153,-1422.17,62.5079
4,110151,-2802.35,55.8547
5,110152,-2897.59,57.9792
6,110153,-2086,49.3741
7,150251,-778.593,37.0602
8,150252,932.966,58.0233
9,150253,-293.489,94.8017
10,110251,-2596.54,81.9895
11,110252,-4693.76,73.1728
12,110253,-5913.92,68.6581
13,150351,-7407.6,93.4673
14,150352,-8642.41,108.946
15,150353,-9361,88.9416
16,110351,-9513.05,86.2119
17,110352,-8214.3,119.32
18,110353,-5171.8,107.587
19,150451,-996.372,100.801
20,150452,2072.81,128.03
21,150453,-1103.11,128.236
22,110451,-5394.03,99.4665
23,110452,-8603.16,124.868
24,110453,-10110.2,166.521
25,150551,-11039.8,75.2105
26,150552,-11155.6,98.5129
27,150553,-10297.3,125.068
28,110551,-8802.42,104.192
29,110552,-7625.29,155.716
30,110553,-5372.47,125.716
31,150651,-537.671,62.4288
32,150652,1863.72,117.413
33,150653,-867.858,63.1236
34,110651,-3924.78,84.0147
35,110652,-6125.96,68.0384
36,110653,-6784.32,93.3238
37,150751,-6273.37,85.9668
38,150752,-5138.79,71.8888
39,150753,-3281.83,68.0914
40,110751,-1708.69,44.2722
41,110752,-977.17,27.7055
42,110753,-259.124,24.1955
43,150851,313.552,40.2171
44,150852,-16.5822,9.63839
45,150853,-353.082,16.2471
46,110851,259.592,22.9698
47,110852,981.827,33.0698
48,110853,1736.22,46.2028
49,150951,3204.98,66.1469
50,150952,4770.33,100.189
51,150953,6244.21,75.9632
52,110951,6812.48,73.1738
53,110952,6227.77,72.9976
54,110953,4056.86,111.906
55,151051,1115.47,124.169
56,151052,-1864.8,109.174
57,151053,615.457,100.465
58,111051,4101.85,161.718
59,111052,7557.37,77.9982
60,111053,8852.3,98.0942
61,151151,10274.8,91.7776
62,151152,11067.7,115.254
63,151153,10944.1,102.58
64,111151,10173.2,106.933
65,111152,8589.61,125.362
66,111153,5255.42,202.042
67,151251,979.354,113.337
68,151252,-2204.67,159.445
69,151253,951.903,117.93
70,111251,5098.23,119.294
71,111252,8281.85,131.312
72,111253,9515.65,91.279
73,151351,9576.54,135.924
74,151352,8911.51,97.8616
75,151353,7439.7,79.8463
76,111351,5954.86,86.6045
77,111352,4639.66,92.9059
78,111353,2513.79,88.391
79,151451,256.783,66.7962
80,151452,-970.753,81.3944
81,151453,478.501,78.509
82,111451,2013.29,62.3185
83,111452,2922.97,49.1998
84,111453,2838.82,46.6399