Det_No,Det_ID,Pion_Asymmetry,Normalized_Pion_Asymmetry,Pion_Asymmetry_Uncertainty
1,150151,63593.7,1,565.734
2,150152,62770.9,0.987061611,666.477
3,150153,60412.7,0.949979322,1676.51
4,110151,59937.3,0.942503739,845.836
5,110152,61797.3,0.971751919,651.318
6,110153,59269.3,0.931999553,1119.76
7,150251,62095.2,0.976436345,365.052
8,150252,60803.8,0.956129302,828.851
9,150253,58107.2,0.913725731,1045.08
10,110251,56878.9,0.894410924,639.934
11,110252,54104.5,0.850783961,883.409
12,110253,50996.8,0.801915913,872.256
13,150351,46672.1,0.733910749,942.852
14,150352,38887.7,0.611502397,1327.68
15,150353,30901.5,0.485920775,1461.07
16,110351,24324.8,0.382503298,1086.51
17,110352,21103.3,0.331845765,796.945
18,110353,19695.9,0.309714642,543.755
19,150451,18122.7,0.284976342,725.863
20,150452,14932.7,0.23481414,436.962
21,150453,11961.7,0.188095676,366.557
22,110451,9024.79,0.141913271,933.737
23,110452,7404.46,0.116433861,478.836
24,110453,1211.86,0.01905629,813.272
25,150551,-3129.32,-0.049208019,676.394
26,150552,-12635.7,-0.19869421,1225.11
27,150553,-24134.9,-0.379517153,1684.15
28,110551,-32091.6,-0.504634893,1500.78
29,110552,-33296,-0.523573876,1052.62
30,110553,-33554.5,-0.527638744,952.62
31,150651,-38785,-0.609887457,955.821
32,150652,-41248.2,-0.648620854,604.726
33,150653,-43962.5,-0.691302755,584.037
34,110651,-46189.7,-0.726325092,475.045
35,110652,-45897.8,-0.721735015,730.773
36,110653,-47064.9,-0.740087461,1165.56
37,150751,-52508.9,-0.825693426,971.629
38,150752,-58916.8,-0.926456552,661.411
39,150753,-61372,-0.965064149,859.475
40,110751,-60506.7,-0.951457456,1425.56
41,110752,-65070.7,-1.023225571,648.342
42,110753,-66127,-1.039835707,438.581
43,150851,-67539.4,-1.062045454,443.376
44,150852,-66136.3,-1.039981948,749.136
45,150853,-66448.8,-1.044895957,441.876
46,110851,-64923.7,-1.020914021,848.305
47,110852,-62975.7,-0.990282056,800.679
48,110853,-62702.6,-0.985987606,1273.99
49,150951,-59054.8,-0.928626578,1688.43
50,150952,-56568.4,-0.889528365,1190.69
51,150953,-51177.5,-0.804757389,1003.31
52,110951,-47358.1,-0.744697981,618.783
53,110952,-46267.3,-0.727545339,737.838
54,110953,-44594.9,-0.701247136,835.588
55,151051,-44209.4,-0.695185215,700.815
56,151052,-41113.9,-0.64650901,455.818
57,151053,-39043.4,-0.613950753,704.461
58,111051,-37520,-0.58999555,742.251
59,111052,-34913.9,-0.549015075,542.505
60,111053,-32153.5,-0.50560826,573.178
61,151151,-22124.3,-0.347900814,1232.14
62,151152,-12872.3,-0.202414705,1727.53
63,151153,-2282.96,-0.035899154,1313.68
64,111151,4666.23,0.073375665,865.798
65,111152,6480.56,0.101905692,820.132
66,111153,10323.5,0.162335263,622.699
67,151251,11788.4,0.185370563,703.64
68,151252,14869,0.233812469,466.882
69,151253,17969.4,0.282565726,508.546
70,111251,18999.7,0.298767016,488.419
71,111252,21743.9,0.341919089,714.244
72,111253,24329.2,0.382572488,580.679
73,151351,31627.7,0.497340145,1416.67
74,151352,39466.9,0.620610218,782.295
75,151353,46791.6,0.735789866,1438.77
76,111351,50140,0.78844288,1277.79
77,111352,54862.5,0.862703381,778.412
78,111353,56059.9,0.88153229,749.45
79,151451,59492.1,0.935503045,434.342
80,151452,60711.7,0.954681045,476.821
81,151453,31264.9,0.491635178,1181.46
82,111451,60750.2,0.955286451,673.56
83,111452,61840.9,0.972437521,624.742
84,111453,60640.4,0.953559865,722.505
,,63593.7,,