Det_No,Det_ID,Pion_Asymmetry,Pion_Asymmetry_Uncertainty
1,150151,63593.7,565.734
2,150152,62770.9,666.477
3,150153,60412.7,1676.51
4,110151,59937.3,845.836
5,110152,61797.3,651.318
6,110153,59269.3,1119.76
7,150251,62095.2,365.052
8,150252,60803.8,828.851
9,150253,58107.2,1045.08
10,110251,56878.9,639.934
11,110252,54104.5,883.409
12,110253,50996.8,872.256
13,150351,46672.1,942.852
14,150352,38887.7,1327.68
15,150353,30901.5,1461.07
16,110351,24324.8,1086.51
17,110352,21103.3,796.945
18,110353,19695.9,543.755
19,150451,18122.7,725.863
20,150452,14932.7,436.962
21,150453,11961.7,366.557
22,110451,9024.79,933.737
23,110452,7404.46,478.836
24,110453,1211.86,813.272
25,150551,-3129.32,676.394
26,150552,-12635.7,1225.11
27,150553,-24134.9,1684.15
28,110551,-32091.6,1500.78
29,110552,-33296,1052.62
30,110553,-33554.5,952.62
31,150651,-38785,955.821
32,150652,-41248.2,604.726
33,150653,-43962.5,584.037
34,110651,-46189.7,475.045
35,110652,-45897.8,730.773
36,110653,-47064.9,1165.56
37,150751,-52508.9,971.629
38,150752,-58916.8,661.411
39,150753,-61372,859.475
40,110751,-60506.7,1425.56
41,110752,-65070.7,648.342
42,110753,-66127,438.581
43,150851,-67539.4,443.376
44,150852,-66136.3,749.136
45,150853,-66448.8,441.876
46,110851,-64923.7,848.305
47,110852,-62975.7,800.679
48,110853,-62702.6,1273.99
49,150951,-59054.8,1688.43
50,150952,-56568.4,1190.69
51,150953,-51177.5,1003.31
52,110951,-47358.1,618.783
53,110952,-46267.3,737.838
54,110953,-44594.9,835.588
55,151051,-44209.4,700.815
56,151052,-41113.9,455.818
57,151053,-39043.4,704.461
58,111051,-37520,742.251
59,111052,-34913.9,542.505
60,111053,-32153.5,573.178
61,151151,-22124.3,1232.14
62,151152,-12872.3,1727.53
63,151153,-2282.96,1313.68
64,111151,4666.23,865.798
65,111152,6480.56,820.132
66,111153,10323.5,622.699
67,151251,11788.4,703.64
68,151252,14869,466.882
69,151253,17969.4,508.546
70,111251,18999.7,488.419
71,111252,21743.9,714.244
72,111253,24329.2,580.679
73,151351,31627.7,1416.67
74,151352,39466.9,782.295
75,151353,46791.6,1438.77
76,111351,50140,1277.79
77,111352,54862.5,778.412
78,111353,56059.9,749.45
79,151451,59492.1,434.342
80,151452,60711.7,476.821
81,151453,31264.9,1181.46
82,111451,60750.2,673.56
83,111452,61840.9,624.742
84,111453,60640.4,722.505